"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","Team","GP","G","A","A1","A2","PTS","Nat_Group"
"443",9e+05,"80-08-03","Thornhill","CAN","CAN",72,192,2000,3,95,"L","Moore","Dominic","C/LW","BOS",82,11,14,7,7,25,"CAN"
"445",1250000,"85-08-12","Kitchener","CAN","CAN",74,216,2003,4,132,"L","Quincey","Kyle","D","CBJ/N.J",73,6,9,5,4,15,"CAN"
"446",675000,"88-07-11","Winston-Salem","USA","USA",71,198,2008,6,169,"R","Smith","Ben","RW/C","COL/TOR",40,2,2,1,1,4,"USA"
"447",635000,"93-01-16","Brampton","CAN","CAN",75,205,2012,4,96,"L","Thomson","Ben","LW","N.J",3,0,0,0,0,0,"CAN"
"451",792500,"94-06-06","Oulu","FIN","FIN",73,186,2015,7,189,"L","Nutivaara","Markus","D","CBJ",66,2,5,1,4,7,"Others"
"452",4300000,"88-08-26","Scarborough","CAN","CAN",74,185,2007,2,61,"R","Simmonds","Wayne","RW/LW","PHI",82,31,23,13,10,54,"CAN"
"453",2e+06,"80-11-25","Indianapolis","USA","USA",70,185,2000,5,159,"L","Liles","John-Michael","D","BOS",36,0,5,3,2,5,"USA"
"454",832500,"94-01-16","Estevan","CAN","CAN",72,208,2012,1,8,"L","Pouliot","Derrick","D","PIT",11,0,0,0,0,0,"CAN"
"455",4e+06,"81-06-16","Grimsby","CAN","CAN",73,200,2001,5,151,"R","Bieksa","Kevin","D","ANA",81,3,11,2,9,14,"CAN"
"456",8750000,"85-07-24","Ancienne-Lorette","CAN","CAN",73,195,2003,2,45,"R","Bergeron","Patrice","C","BOS",79,21,32,21,11,53,"CAN"
"457",5500000,"88-06-09","Dorval","CAN","CAN",73,200,2008,7,186,"R","Demers","Jason","D","FLA",81,9,19,9,10,28,"CAN"
"458",1125000,"87-01-20","Winnipeg","CAN","CAN",73,225,2005,5,156,"R","Reaves","Ryan","RW","STL",80,7,6,5,1,13,"CAN"
"459",1050000,"89-03-18","Thunder Bay","CAN","CAN",76,221,2007,3,78,"R","Bortuzzo","Robert","D","STL",38,1,3,2,1,4,"CAN"
"460",7e+05,"92-11-24","Stockholm","SWE","SWE",73,200,2011,5,126,"L","Claesson","Fredrik","D","OTT",33,3,8,3,5,11,"Others"
"461",5250000,"90-07-15","Massena","USA","USA",75,228,2008,1,3,"R","Bogosian","Zach","D","BUF",56,2,9,4,5,11,"USA"
"462",5e+06,"95-09-01","Halifax","CAN","CAN",72,205,2013,1,1,"R","MacKinnon","Nathan","C/RW","COL",82,16,37,25,12,53,"CAN"
"463",625000,"91-05-27","Walpole","USA","USA",72,195,2010,5,122,"R","Wagner","Chris","C/RW","ANA",43,6,1,1,0,7,"USA"
"464",4500000,"80-06-04","Sorel","CAN","CAN",73,208,1998,3,75,"L","Beauchemin","Francois","D","COL",81,5,13,8,5,18,"CAN"
"465",950000,"88-04-14","Saskatoon","CAN","CAN",76,225,2006,3,68,"R","Gryba","Eric","D","EDM",40,2,4,3,1,6,"CAN"
"466",1100000,"92-11-11","Ottawa","CAN","CAN",70,180,2011,4,96,"R","Pageau","Jean-Gabriel","C","OTT",82,12,21,10,11,33,"CAN"
"468",4500000,"85-08-17","Vancouver","CAN","CAN",75,215,2004,7,214,"R","Brouwer","Troy","RW","CGY",74,13,12,5,7,25,"CAN"
"469",1250000,"83-03-24","Hull","CAN","CAN",72,200,2001,9,264,"R","Parenteau","PA","RW","N.J/NSH",67,13,15,8,7,28,"CAN"
"470",692500,"95-07-01","Buffalo","USA","USA",75,214,2013,2,52,"R","Bailey","Justin","RW","BUF",32,2,2,1,1,4,"USA"
"471",925000,"94-08-16","Toronto","CAN","CAN",75,210,2012,3,65,"L","Pelech","Adam","D","NYI",44,3,7,1,6,10,"CAN"
"472",4838000,"90-06-07","Chatham","CAN","CAN",73,182,2008,4,114,"L","Brodie","T.J.","D","CGY",82,6,30,14,16,36,"CAN"
"474",5200000,"89-12-16","Brondby","DNK","DNK",72,210,2008,1,8,"L","Boedker","Mikkel","LW/RW","S.J",81,10,16,10,6,26,"Others"
"475",6e+05,"93-02-12","Plano","USA","USA",73,205,2011,1,21,"R","Noesen","Stefan","RW","ANA/N.J",44,8,2,1,1,10,"USA"
"476",925000,"94-07-08","Ann Arbor","USA","USA",73,206,2013,4,104,"L","Copp","Andrew","C","WPG",64,9,8,6,2,17,"USA"
"477",4750000,"87-01-01","Sollentuna","SWE","SWE",71,189,2005,7,230,"R","Hornqvist","Patric","RW","PIT",70,21,23,15,8,44,"Others"
"478",650000,"94-01-14","Toronto","CAN","CAN",72,185,2012,6,156,"R","Brown","Connor","RW","TOR",82,20,16,10,6,36,"CAN"
"479",4500000,"90-02-06","Brantford","CAN","CAN",72,195,2008,3,82,"L","Henrique","Adam","C","N.J",82,20,20,13,7,40,"CAN"
"480",8e+05,"94-02-02","Fergus","CAN","CAN",72,185,2012,2,47,"L","McGinn","Brock","LW","CAR",57,7,9,6,3,16,"CAN"
"481",925000,"92-10-24","Eden Prairie","USA","USA",68,178,2011,3,91,"L","Rau","Kyle","C","FLA",24,2,1,0,1,3,"USA"
"482",1e+06,"91-12-02","Nassjo","SWE","SWE",72,190,2010,6,157,"R","Fast","Jesper","RW/LW","NYR",68,6,15,10,5,21,"Others"
"483",2e+06,"84-12-18","Hingham","USA","USA",78,244,2003,1,26,"L","Boyle","Brian","C/LW","T.B/TOR",75,13,12,7,5,25,"USA"
"484",925000,"94-02-27","Pointe-Claire","CAN","CAN",74,192,2012,1,23,"L","Matheson","Michael","D","FLA",81,7,10,7,3,17,"CAN"
"486",832500,"95-02-02","Salmon Arm","CAN","CAN",72,209,2013,1,17,"R","Lazar","Curtis","C/RW","CGY/OTT",37,1,3,1,2,4,"CAN"
"488",3500000,"90-10-22","St. Hyacinthe","CAN","CAN",74,227,2009,4,94,"R","Savard","David","D","CBJ",74,6,17,8,9,23,"CAN"
"489",1750000,"90-11-19","Winnetka","USA","USA",75,210,2009,1,21,"L","Moore","John","D","N.J",63,12,10,4,6,22,"USA"
"490",875000,"93-02-24","Victoriaville","CAN","CAN",73,193,2011,1,26,"L","Danault","Phillip","LW/C","MTL",82,13,27,15,12,40,"CAN"
"491",1e+06,"93-03-23","Omsk","RUS","CZE",74,196,2011,2,41,"L","Jaskin","Dmitrij","RW/LW","STL",51,1,10,5,5,11,"Others"
"492",575000,"90-10-06","Ville Degelis","CAN","CAN",70,190,2009,5,139,"R","Dumont","Gabriel","C","T.B",39,2,2,2,0,4,"CAN"
"493",5750000,"86-12-06","Virginia","USA","USA",73,200,2005,1,28,"R","Niskanen","Matt","D","WSH",78,5,34,17,17,39,"USA"
"494",1250000,"92-01-11","Sherwood Park","CAN","CAN",73,200,2010,1,23,"R","Pysyk","Mark","D","FLA",82,4,13,3,10,17,"CAN"
"495",7e+05,"91-10-29","Skellefteë","SWE","SWE",73,202,2010,2,57,"L","Lindberg","Oscar","C","NYR",65,8,12,6,6,20,"Others"
"496",925000,"94-08-30","Yekaterinburg","RUS","RUS",79,265,2014,3,66,"L","Tryamkin","Nikita","D","VAN",66,2,7,3,4,9,"Others"
"497",13800000,"88-04-29","Winnipeg","CAN","CAN",74,201,2006,1,3,"L","Toews","Jonathan","C","CHI",72,21,37,21,17,58,"CAN"
"498",8e+06,"85-12-12","Maple Ridge","CAN","CAN",75,200,2004,1,4,"L","Ladd","Andrew","LW","NYI",78,23,8,7,1,31,"CAN"
"499",1e+06,"92-02-03","Oklahoma City","USA","USA",75,205,2010,2,38,"L","Merrill","Jon","D","N.J",51,1,5,1,4,6,"USA"
"500",925000,"97-05-05","Markham","CAN","CAN",72,170,2015,1,4,"R","Marner","Mitchell","C/RW","TOR",77,19,42,24,18,61,"CAN"
"501",6e+05,"93-03-26","Toronto","CAN","CAN",72,205,2011,5,150,"R","Corrado","Frank","D","PIT/TOR",4,0,0,0,0,0,"CAN"
"502",832500,"95-04-16","Moscow","RUS","RUS",77,230,2013,1,16,"L","Zadorov","Nikita","D","COL",56,0,10,7,3,10,"Others"
"503",2750000,"84-12-13","Kitchener","CAN","CAN",73,206,2003,2,37,"R","Klein","Kevin","D","NYR",60,3,11,6,5,14,"CAN"
"504",4250000,"86-07-14","Magnitogorsk","RUS","RUS",73,225,2006,2,44,"L","Kulemin","Nikolay","LW/RW","NYI",72,12,11,7,4,23,"Others"
"505",3100000,"94-02-12","Milwaukee","USA","USA",73,210,2012,1,3,"L","Galchenyuk","Alex","C/LW","MTL",61,17,27,16,11,44,"USA"
"507",2250000,"82-08-25","Strasbourg","CAN","CAN",73,203,2000,2,33,"L","Schultz","Nick","D","PHI",28,0,4,3,1,4,"CAN"
"509",6e+05,"94-08-07","Melville","CAN","CAN",74,205,2012,2,60,"R","Severson","Damon","D","N.J",80,3,28,13,15,31,"CAN"
"510",625000,"84-09-30","Wethersfield","USA","USA",74,219,2003,2,51,"R","McDonald","Colin","RW/C","PHI",3,1,0,0,0,1,"USA"
"511",4e+06,"88-06-07","Windsor","CAN","CAN",72,203,2006,4,112,"L","Beleskey","Matt","LW","BOS",49,3,5,1,4,8,"CAN"
"512",2400000,"86-02-18","Meadow Lake","CAN","CAN",73,202,2004,2,47,"R","Comeau","Blake","LW/RW","COL",77,8,12,6,6,20,"CAN"
"513",867500,"93-10-09","Toronto","CAN","CAN",72,200,2012,2,38,"L","Di Giuseppe","Phillip","LW","CAR",36,1,6,3,3,7,"CAN"
"514",1300000,"85-01-30","Greenfield Park","CAN","CAN",71,190,2004,4,126,"R","Mitchell","Torrey","C/RW","MTL",78,8,9,4,5,17,"CAN"
"515",575000,"92-02-05","Bern","CHE","CHE",71,192,2013,7,186,"L","Vermin","Joel","RW","T.B",18,0,3,0,3,3,"Others"
"516",832500,"95-03-28","Calgary","CAN","CAN",72,195,2013,1,13,"L","Morrissey","Josh","D","WPG",82,6,14,9,5,20,"CAN"
"517",7e+06,"87-11-23","G_vle","SWE","SWE",73,213,2006,1,4,"L","Backstrom","Nicklas","C","WSH",82,23,63,32,31,86,"Others"
"518",7e+05,"94-05-07","Burlington","CAN","CAN",75,221,2012,4,95,"R","Anderson","Josh","RW","CBJ",78,17,12,8,4,29,"CAN"
"519",850000,"93-04-16","Oulu","FIN","FIN",72,183,2011,2,45,"L","Granlund","Markus","C","VAN",69,19,13,8,5,32,"Others"
"520",925000,"96-04-27","Guildford","GBR","GBR",75,211,2014,1,12,"L","Perlini","Brendan","LW","ARI",57,14,7,3,4,21,"Others"
"522",4250000,"89-05-08","Rodovre","DNK","DNK",74,207,2007,1,13,"L","Eller","Lars","C/LW/RW","WSH",81,12,13,6,7,25,"Others"
"523",925000,"95-04-17","Cherepovets","RUS","RUS",74,193,2013,3,75,"L","Buchnevich","Pavel","RW/LW","NYR",41,8,12,6,6,20,"Others"
"524",1850000,"81-06-17","Blaine","USA","USA",72,209,2000,5,131,"L","Hendricks","Matt","LW/C","EDM",42,4,3,0,3,7,"USA"
"525",5e+06,"87-09-22","Hull","CAN","CAN",73,204,2006,1,6,"L","Brassard","Derick","C","OTT",81,14,25,12,13,39,"CAN"
"526",925000,"95-10-27","Cologne","DEU","DEU",73,216,2014,1,3,"L","Draisaitl","Leon","C","EDM",82,29,48,31,17,77,"Others"
"527",615000,"94-03-24","Cambridge","CAN","CAN",75,210,2012,6,161,"R","Dotchin","Jake","D","T.B",35,0,11,3,8,11,"CAN"
"528",4e+06,"93-07-12","Karlstad","SWE","SWE",73,193,2011,1,10,"L","Brodin","Jonas","D","MIN",68,3,22,8,14,25,"Others"
"529",715000,"93-07-29","Bayonne","FRA","FRA",73,208,2011,2,48,"L","Ouellet","Xavier","D","DET",66,3,9,5,4,12,"Others"
"531",874125,"93-09-07","Edmonton","CAN","CAN",75,210,2011,1,11,"L","Siemens","Duncan","D","COL",3,0,0,0,0,0,"CAN"
"532",5e+06,"88-05-11","Halifax","CAN","CAN",69,181,2006,3,71,"L","Marchand","Brad","LW/C","BOS",80,39,46,23,23,85,"CAN"
"533",1e+06,"81-06-13","Mlada Boleslav","CZE","CZE",73,194,1999,7,212,"R","Vrbata","Radim","RW","ARI",81,20,35,24,11,55,"Others"
"534",1e+06,"93-01-08","Marsta","SWE","SWE",73,189,2011,2,53,"L","Karlsson","William","C","CBJ",81,6,19,13,6,25,"Others"
"536",2250000,"91-08-10","Buffalo","USA","CAN",75,228,2009,4,104,"L","Foligno","Marcus","LW","BUF",80,13,10,4,6,23,"CAN"
"537",950000,"86-05-13","Lethbridge","CAN","CAN",71,176,2004,5,134,"R","Versteeg","Kris","RW/LW","CGY",69,15,22,10,12,37,"CAN"
"538",1200000,"83-06-03","Sault Ste. Marie","CAN","CAN",75,235,2001,2,50,"R","Thorburn","Chris","RW/LW","WPG",64,3,1,1,0,4,"CAN"
"540",5e+06,"88-02-17","Kladno","CZE","CZE",73,194,2006,1,10,"L","Frolik","Michael","RW/C","CGY",82,17,27,11,16,44,"Others"
"541",6500000,"84-03-01","Winnipeg","CAN","SWE",72,211,2002,1,24,"L","Steen","Alex","LW/C","STL",76,16,35,20,15,51,"Others"
"542",9e+05,"93-06-28","Brandon","CAN","CAN",76,220,2011,2,46,"L","Edmundson","Joel","D","STL",69,3,12,5,7,15,"CAN"
"543",1.2e+07,"85-08-14","Sicamous","CAN","CAN",76,232,2003,2,49,"R","Weber","Shea","D","MTL",78,17,25,9,16,42,"CAN"
"544",925000,"96-10-29","Nousiainen","FIN","FIN",76,211,2015,1,10,"L","Rantanen","Mikko","RW","COL",75,20,18,10,8,38,"Others"
"545",925000,"97-01-29","Karlstad","SWE","SWE",74,197,2015,1,20,"L","Eriksson Ek","Joel","C/RW/LW","MIN",15,3,4,2,2,7,"Others"
"547",5e+06,"84-03-20","Vantaa","FIN","FIN",72,196,2002,3,95,"L","Filppula","Valtteri","C/LW","PHI/T.B",79,12,30,21,9,42,"Others"
"548",1500000,"86-01-17","Gothenburg","SWE","SWE",75,209,2006,6,161,"L","Stalberg","Viktor","LW/RW","CAR/OTT",75,11,5,5,0,16,"Others"
"549",2725000,"87-07-02","Trebic","CZE","CZE",70,197,2005,4,106,"L","Sobotka","Vladimir","LW/C","STL",1,1,0,0,0,1,"Others"
"550",670000,"94-04-16","Toronto","CAN","CAN",70,190,2012,4,104,"L","Smith","Gemel","C","DAL",17,3,3,1,2,6,"CAN"
"552",3250000,"79-01-18","Rochester","USA","USA",67,178,1998,3,82,"R","Gionta","Brian","RW","BUF",82,15,20,14,6,35,"USA"
"553",925000,"96-01-22","Toronto","CAN","CAN",72,173,2014,1,28,"R","Ho-Sang","Joshua","RW/C","NYI",21,4,6,5,1,10,"CAN"
"554",2e+06,"92-01-16","Newport Beach","USA","USA",71,187,2010,2,59,"L","Zucker","Jason","LW/RW","MIN",79,22,25,16,9,47,"USA"
"556",925000,"95-12-03","Jyv_skyl_","FIN","FIN",71,195,2014,1,14,"R","Honka","Julius","D","DAL",16,1,4,4,0,5,"Others"
"557",3500000,"87-11-18","Welland","CAN","CAN",71,218,2006,3,72,"R","Clutterbuck","Cal","RW","NYI",66,5,15,10,5,20,"CAN"
"558",925000,"94-05-25","Edmonton","CAN","CAN",73,195,2012,6,175,"R","Benning","Matthew","D","EDM",62,3,12,6,6,15,"CAN"
"560",640000,"93-04-08","Skellefteë","SWE","SWE",69,180,2014,4,112,"R","Arvidsson","Viktor","LW/RW","NSH",80,31,30,14,16,61,"Others"
"561",925000,"95-05-20","Arvika","SWE","SWE",75,214,2013,2,34,"L","De la Rose","Jacob","LW","MTL",9,0,0,0,0,0,"Others"
"562",1900000,"92-11-22","Zhukovskiy","RUS","RUS",71,180,2011,1,27,"L","Namestnikov","Vladislav","C/LW","T.B",74,10,18,9,9,28,"Others"
"563",925000,"96-01-22","Mississauga","CAN","CAN",70,195,2014,1,21,"L","Fabbri","Robby","C/LW","STL",51,11,18,12,6,29,"CAN"
"564",4e+06,"91-03-28","Frydek-Mistek","CZE","CZE",72,188,2011,7,208,"L","Palat","Ondrej","LW","T.B",75,17,35,17,18,52,"Others"
"565",6500000,"85-03-21","Rochester","USA","USA",70,187,2004,4,127,"R","Callahan","Ryan","RW","T.B",18,2,2,1,1,4,"USA"
"566",7e+05,"91-04-12","Norrkoping","SWE","SWE",75,203,2009,1,10,"L","Paajarvi","Magnus","LW","STL",32,8,5,3,2,13,"Others"
"567",925000,"97-03-11","London","CAN","CAN",70,175,2015,1,24,"R","Konecny","Travis","C/LW","PHI",70,11,17,10,7,28,"CAN"
"568",925000,"93-05-26","Boston","USA","USA",75,207,2012,3,66,"L","Vesey","Jimmy","LW","NYR",80,16,11,7,4,27,"USA"
"569",1025000,"89-12-07","Esbjerg","DNK","DNK",73,185,2008,5,149,"R","Larsen","Philip","D","VAN",26,1,5,4,1,6,"Others"
"570",925000,"96-02-14","Aalborg","DNK","DNK",72,172,2014,1,9,"L","Ehlers","Nikolaj","LW","WPG",82,25,39,20,19,64,"Others"
"571",925000,"94-03-26","Lakeville","USA","USA",75,211,2012,1,28,"L","Skjei","Brady","D","NYR",80,5,34,13,21,39,"USA"
"573",6e+06,"91-11-14","Calgary","CAN","CAN",73,201,2010,1,1,"L","Hall","Taylor","LW/C","N.J",72,20,33,22,11,53,"CAN"
"574",2500000,"93-10-06","Nizhnekamsk","RUS","RUS",71,195,2012,1,1,"L","Yakupov","Nail","RW/LW","STL",40,3,6,3,3,9,"Others"
"575",667500,"94-04-03","Chicago","USA","USA",69,173,2012,6,169,"R","Hinostroza","Vinnie","LW/C","CHI",49,6,8,4,4,14,"USA"
"576",3700000,"85-02-27","Shaunavon","CAN","CAN",77,223,2003,1,8,"L","Coburn","Braydon","D","T.B",80,5,7,4,3,12,"CAN"
"578",925000,"97-01-30","Boston","USA","USA",72,183,2015,1,21,"R","White","Colin","C/D","OTT",2,0,0,0,0,0,"USA"
"579",832500,"95-07-12","Lac-Beauport","CAN","CAN",78,202,2013,1,11,"L","Morin","Samuel","D","PHI",1,0,0,0,0,0,"CAN"
"581",832500,"94-03-25","Sudbury","CAN","CAN",74,217,2012,1,26,"L","Gaunce","Brendan","C/LW","VAN",57,0,5,2,3,5,"CAN"
"582",7e+06,"80-09-26","Ornskoldsvik","SWE","SWE",73,190,1999,1,2,"L","Sedin","Daniel","LW","VAN",82,15,29,22,7,44,"Others"
"583",925000,"98-04-19","Tampere","FIN","FIN",77,206,2016,1,2,"R","Laine","Patrik","RW","WPG",73,36,28,13,15,64,"Others"
"584",925000,"97-04-06","Brno","CZE","CZE",75,210,2015,1,6,"L","Zacha","Pavel","C","N.J",70,8,16,11,5,24,"Others"
"585",3750000,"93-07-11","Pittsburgh","USA","USA",70,182,2011,3,64,"R","Trocheck","Vincent","C/RW","FLA",82,23,31,16,15,54,"USA"
"586",6e+06,"83-03-20","Kitchener","CAN","CAN",72,202,2002,8,241,"R","Wideman","Dennis","D","CGY",57,5,13,6,7,18,"CAN"
"587",750000,"93-03-31","Aurora","CAN","CAN",71,185,2011,1,12,"R","Murphy","Ryan","D","CAR",27,0,2,1,1,2,"CAN"
"588",7e+06,"90-01-18","King City","CAN","CAN",75,205,2008,1,4,"R","Pietrangelo","Alex","D","STL",80,14,34,17,17,48,"CAN"
"589",640000,"96-10-08","Quebec City","CAN","CAN",71,174,2015,4,115,"R","Carrier","Alex","D","NSH",2,0,0,0,0,0,"CAN"
"590",3e+06,"88-08-05","Fergus","CAN","CAN",73,205,2006,2,36,"L","McGinn","Jamie","LW/RW","ARI",72,9,8,4,4,17,"CAN"
"591",925000,"94-10-23","Farevejle","DNK","DNK",73,182,2013,2,45,"R","Sorensen","Nick","RW","ANA",5,0,1,0,1,1,"Others"
"592",925000,"97-05-26","Coquitlam","CAN","CAN",72,182,2015,1,16,"R","Barzal","Mathew","C","NYI",2,0,0,0,0,0,"CAN"
"593",3e+06,"90-10-13","G_vle","SWE","SWE",74,196,2009,2,39,"R","Silfverberg","Jakob","RW/LW","ANA",79,23,26,15,11,49,"Others"
"594",3750000,"92-05-13","Winnipeg","CAN","CAN",75,206,2010,6,178,"R","Stone","Mark","RW","OTT",71,22,32,17,15,54,"CAN"
"595",9500000,"86-07-31","Magnitogorsk","RUS","RUS",75,195,2004,1,2,"L","Malkin","Evgeni","C/RW","PIT",62,33,39,26,13,72,"Others"
"596",1250000,"92-02-25","Stockholm","SWE","SWE",73,189,2010,3,90,"L","Nordstrom","Joakim","LW/C","CAR",82,7,5,2,3,12,"Others"
"597",925000,"97-06-08","Sorel-Tracy","CAN","CAN",71,170,2015,1,28,"L","Beauvillier","Anthony","C/LW","NYI",66,9,15,8,7,24,"CAN"
"598",842500,"93-09-23","Stockholm","SWE","SWE",71,196,2012,2,37,"R","Aberg","Pontus","LW","NSH",15,1,1,0,1,2,"Others"
"599",4e+06,"89-09-05","Madison","USA","USA",73,208,2009,4,98,"R","Smith","Craig","RW/LW/C","NSH",78,12,17,13,4,29,"USA"
"600",2700000,"84-04-27","Rochester","USA","USA",74,215,2003,1,21,"L","Stuart","Mark","D","WPG",42,2,2,1,1,4,"USA"
"601",5e+06,"87-01-13","Indianapolis","USA","USA",73,226,2005,1,3,"L","Johnson","Jack","D","CBJ",82,5,18,6,12,23,"USA"
"602",575000,"93-03-09","Raahe","FIN","FIN",71,203,2011,2,52,"L","Salomaki","Miikka","RW","NSH",5,0,0,0,0,0,"Others"
"603",6e+05,"90-09-21","St. Paul","USA","USA",72,196,2009,5,150,"R","Jensen","Nick","D","DET",49,4,9,5,4,13,"USA"
"604",3700000,"89-10-02","Bowmanville","CAN","CAN",73,210,2008,1,9,"L","Bailey","Josh","RW/LW/C","NYI",82,13,43,30,13,56,"CAN"
"605",6500000,"79-09-15","Aneroid","CAN","CAN",74,215,1997,1,2,"L","Marleau","Patrick","LW/C","S.J",82,27,19,7,12,46,"CAN"
"607",680000,"93-04-16","Burnsville","USA","USA",77,210,2011,4,101,"L","Labate","Joseph","C","VAN",13,0,0,0,0,0,"USA"
"608",6e+05,"92-09-26","Denver","USA","USA",73,201,2011,3,82,"R","Shore","Nick","C","L.A",70,6,11,6,5,17,"USA"
"609",9e+06,"85-01-21","Madison","USA","USA",74,206,2003,1,7,"L","Suter","Ryan","D","MIN",82,9,31,10,21,40,"USA"
"610",4250000,"87-03-30","Montreal","CAN","CAN",73,205,2005,2,35,"L","Vlasic","Marc-Edouard","D","S.J",75,6,22,14,8,28,"CAN"
"611",7e+06,"82-10-31","Kladno","CZE","CZE",71,196,2001,3,71,"L","Plekanec","Tomas","C","MTL",78,10,18,9,9,28,"Others"
"612",925000,"93-05-12","St. Albert","CAN","CAN",78,226,2012,3,86,"R","Parayko","Colton","D","STL",81,4,31,17,14,35,"CAN"
"613",7e+06,"88-11-05","Ithaca","USA","USA",72,216,2003,1,13,"R","Brown","Dustin","RW/LW","L.A",80,14,22,9,13,36,"USA"
"614",925000,"00-02-29","Prague","CZE","CZE",72,195,2014,1,13,"L","Vrana","Jakub","LW","WSH",21,3,3,2,1,6,"Others"
"615",2e+06,"92-04-24","St. Louis","USA","USA",75,227,2007,6,161,"L","Maroon","Patrick","LW","EDM",81,27,15,9,6,42,"USA"
"616",667500,"99-07-05","Piikkio","FIN","FIN",72,182,2013,2,55,"L","Lehkonen","Artturi","LW","MTL",73,18,10,3,7,28,"Others"
"617",6e+05,"96-10-27","Niagara Falls","USA","USA",72,196,2011,2,36,"R","Clendening","Adam","D","NYR",31,2,9,2,7,11,"USA"
"618",1400000,"87-01-11","Bloomington","USA","USA",74,210,2002,4,129,"R","Gilbert","Tom","D","L.A",18,1,4,4,0,5,"USA"
"619",1600000,"95-10-22","Kazan","RUS","RUS",73,180,2010,1,8,"L","Burmistrov","Alex","C/RW","ARI/WPG",49,5,11,8,3,16,"Others"
"620",7500000,"87-06-14","Toronto","CAN","CAN",75,210,2001,1,2,"R","Spezza","Jason","C","DAL",68,15,35,15,20,50,"CAN"
"621",4500000,"89-04-07","Lloydminster","CAN","CAN",72,192,2003,3,74,"L","MacArthur","Clarke","LW","OTT",4,0,0,0,0,0,"CAN"
"622",6e+06,"98-08-14","Ostervala","SWE","SWE",73,205,2012,1,11,"R","Forsberg","Filip","LW/C/RW","NSH",82,31,27,17,10,58,"Others"
"623",767500,"99-03-28","Repentigny","CAN","CAN",73,180,2013,2,39,"L","Dauphin","Laurent","C","ARI",24,2,1,1,0,3,"CAN"
"624",725000,"95-11-28","Gardena","USA","USA",74,195,2010,1,20,"R","Bennett","Beau","RW/LW","N.J",65,8,11,7,4,19,"USA"
"625",5750000,"90-07-06","Nizhny Tagil","RUS","RUS",74,205,2004,1,15,"L","Radulov","Alex","RW","MTL",76,18,36,26,10,54,"Others"
"626",4e+06,"94-06-25","Stouffville","CAN","CAN",72,195,2008,1,20,"L","Del Zotto","Michael","D","PHI",51,6,12,7,5,18,"CAN"
"627",1.4e+07,"91-08-25","Jesenice","SVN","SVN",75,224,2005,1,11,"L","Kopitar","Anze","C","L.A",76,12,40,22,18,52,"Others"
"628",5200000,"93-01-30","New Rochelle","USA","USA",72,209,2007,1,14,"R","Shattenkirk","Kevin","D","STL/WSH",80,13,43,21,22,56,"USA"
"629",575000,"96-01-02","Toronto","CAN","CAN",73,195,2010,5,129,"R","Hamilton","Freddie","C","CGY",26,2,0,0,0,2,"CAN"
"631",575000,"97-02-26","Belleville","CAN","CAN",72,200,2013,6,166,"L","Quine","Alan","C","NYI",61,5,13,6,7,18,"CAN"
"632",925000,"99-09-14","Buffalo","USA","USA",74,195,2013,4,100,"L","Wood","Miles","LW","N.J",60,8,9,5,4,17,"USA"
"633",7e+05,"95-02-23","Golden","CAN","CAN",74,205,2009,6,159,"L","McKenzie","Curtis","LW","DAL",53,6,10,5,5,16,"CAN"
"634",650000,"97-03-22","Zurich","CHE","CHE",70,188,2013,3,86,"L","Andrighetto","Sven","RW","COL/MTL",46,7,17,9,8,24,"Others"
"635",950000,"96-07-26","Lau","SWE","SWE",71,200,2010,2,56,"L","Larsson","Johan","C/LW","BUF",36,6,5,2,3,11,"Others"
"636",3500000,"91-05-16","Nashua","USA","USA",75,212,2005,5,155,"R","Fayne","Mark","D","EDM",4,0,2,2,0,2,"USA"
"637",3e+06,"91-02-11","Sumperk","CZE","CZE",75,199,2005,1,19,"L","Kindl","Jakub","D","FLA",39,0,4,3,1,4,"Others"
"638",667500,"98-11-30","Skellefteë","SWE","SWE",71,191,2014,5,144,"L","Lindholm","Anton","D","COL",12,0,0,0,0,0,"Others"
"639",7250000,"90-04-29","Sternberk","CZE","CZE",72,186,2004,2,63,"R","Krejci","David","C","BOS",82,23,31,23,8,54,"Others"
"640",842500,"98-04-23","Saskatoon","CAN","CAN",72,204,2012,3,77,"L","Stephenson","Chandler","C","WSH",4,0,0,0,0,0,"CAN"
"641",1650000,"91-10-06","Villach","AUT","AUT",73,185,2006,1,14,"L","Grabner","Michael","RW","NYR",76,27,13,9,4,40,"Others"
"642",3800000,"91-02-11","Minneapolis","USA","USA",74,205,2007,7,201,"R","Braun","Justin","D","S.J",81,4,9,4,5,13,"USA"
"643",3250000,"97-04-19","Huddinge","SWE","SWE",74,215,2011,1,6,"R","Zibanejad","Mika","C/RW","NYR",56,14,23,8,15,37,"Others"
"644",802500,"98-05-24","Vantaa","FIN","FIN",75,215,2012,3,74,"L","Lindell","Esa","D","DAL",73,6,12,5,7,18,"Others"
"645",1e+06,"97-03-30","St. Louis","USA","USA",77,210,2011,3,67,"L","Lowry","Adam","C/LW","WPG",82,15,14,7,7,29,"USA"
"646",650000,"98-04-14","Orland Park","USA","USA",71,195,2012,5,137,"R","Carrick","Connor","D","TOR",67,2,6,4,2,8,"USA"
